methods	score	confidence	source
reconstituted complex	10	high	hippie
x-ray crystallography	10	high	hippie
co-crystal structure	10	high	hippie
surface plasmon resonance	10	high	hippie
fluorescence polarization spectroscopy	10	high	hippie
isothermal titration calorimetry	10	high	hippie
nuclear magnetic resonance	10	high	hippie
light scattering	10	high	hippie
fluorescence correlation spectroscopy	10	high	hippie
solution state nmr	10	high	perplexity
x ray scattering	9	high	hippie
circular dichroism	9	high	hippie
dynamic light scattering	9	high	hippie
atomic force microscopy	9	high	hippie
electron paramagnetic resonance	9	high	hippie
electron tomography	9	high	hippie
x-ray fiber diffraction	9	high	hippie
3d electron microscopy	9	high	perplexity
surface plasmon resonance array	9	high	perplexity
electron microscopy 3d single particle reconstruction	9	high	perplexity
bio-layer interferometry	9	high	perplexity
static light scattering	9	high	perplexity
microscale thermophoresis	9	high	perplexity
differential scanning calorimetry	9	high	perplexity
solid state nmr	9	high	perplexity
electron diffraction	9	high	perplexity
mst	9	high	perplexity
force spectroscopy	9	high	perplexity
electron microscopy 3d helical reconstruction	9	high	perplexity
intermolecular force	9	high	perplexity
cross-linking-ms (xl-ms)	8	medium_high	perplexity
mass spectrometry study of hydrogen/deuterium exchange	8	medium_high	perplexity
thermal shift binding	8	medium_high	perplexity
infrared spectroscopy	8	medium_high	perplexity
ion mobility mass spectrometry of complexes	8	medium_high	perplexity
biosensor	8	medium_high	perplexity
silicon nanowire field-effect transistor	8	medium_high	perplexity
equilibrium dialysis	8	medium_high	perplexity
small angle neutron scattering	8	medium_high	perplexity
x-ray powder diffraction	8	medium_high	perplexity
protein kinase assay	7.5	medium_high	hippie
protease assay	7.5	medium_high	hippie
phosphatase assay	7.5	medium_high	hippie
in-gel kinase assay	7.5	medium_high	hippie
classical fluorescence spectroscopy	7.5	medium_high	hippie
saturation binding	7.5	medium_high	hippie
deacetylase assay	7.5	medium_high	hippie
scintillation proximity assay	7.5	medium_high	hippie
methyltransferase assay	7.5	medium_high	hippie
methyltransferase radiometric assay	7.5	medium_high	hippie
demethylase assay	7.5	medium_high	hippie
ribonuclease assay	7.5	medium_high	hippie
gtpase assay	7.5	medium_high	hippie
acetylation assay	7.5	medium_high	hippie
kinase homogeneous time resolved fluorescence	7.5	medium_high	hippie
phosphotransfer assay	7.5	medium_high	hippie
ubiquitinase assay	7.5	medium_high	perplexity
deubiquitinase assay	7.5	medium_high	perplexity
